id,title,company_name,location,zipcode,city,state
2750493851,Data Analyst III,Spectraforce Technologies,"Cupertino, CA",95014,Cupertino,CA
2752297947,Data Analyst,Dice,"Sunnyvale, CA",94085,Sunnyvale,CA
2615051790,Clinical Data Analyst - R (Contract),"GRAIL, Inc.","Menlo Park, CA",94025,Menlo Park,CA
2750777325,Data Analyst,Abacus Service Corporation,"Pleasanton, CA",94566,Pleasanton,CA
2742743811,Data Analyst,eTeam,"Palo Alto, CA",94301,Palo Alto,CA
2723025397,Data Analyst,Diverse Lynx,"Santa Clara, CA",95050,Santa Clara,CA
2752694472,Data Analyst,Dice,"Pleasanton, CA",94566,Pleasanton,CA
2658407399,Data Analyst,eTeam,"Cupertino, CA",95014,Cupertino,CA
2756005039,Data Analytics & Engineering - Data Analyst I Data Analyst I,PRI Global,"Fremont, CA",94536,Fremont,CA
2749529706,Data Analyst II,Dice,"Santa Clara, CA",95050,Santa Clara,CA
2716510637,Data Analytics Analyst,"DIVERSANT, LLC","Cupertino, CA",95014,Cupertino,CA
2756504313,Data Analyst Engineer,Mendel.ai,"San Jose, CA",95101,San Jose,CA
2700853849,Data Ops Analyst,Feed Media Group,San Francisco Bay Area,94101,San Francisco,CA
2755226436,SQL Data Quality Analyst,"NetSource, Inc.","San Jose, CA",95101,San Jose,CA
2694737469,"Data Analyst, Account Management",Booster,"San Mateo, CA",94401,San Mateo,CA
2763144291,Service Analytics Data Analyst,RGBSI,"Newark, CA",94560,Newark,CA
2743401464,Data Analyst,Diverse Lynx,"Sunnyvale, CA",94085,Sunnyvale,CA
2743404116,Data Analyst,Diverse Lynx,"Sunnyvale, CA",94085,Sunnyvale,CA
2732526238,Coforge Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2718521847,Data Analytics & Engineering - Data Analyst I Data Analyst I,PRI Global,"Fremont, CA",94536,Fremont,CA
2655789487,Data Analyst,eTeam,"Cupertino, CA",95014,Cupertino,CA
2716731705,Data Analyst ( Data Conversion),Triune Infomatics Inc,"Redwood City, CA",94061,Redwood City,CA
2743362785,Data Science Analyst,Resource Logistics Inc.,"Fremont, CA",94536,Fremont,CA
2743404532,Data analysis,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2721759280,Business Intelligence & Data Analyst,Sharethrough,"San Jose, CA",95101,San Jose,CA
2715152293,Data Analyst (for Conversion),Genuent,"Redwood City, CA",94061,Redwood City,CA
2729560435,Data Informatics Analyst 1,"TalentBurst, an Inc 5000 company","Santa Clara, CA",95050,Santa Clara,CA
2739427662,Research Data Support Analyst,Stanford University,"Stanford, CA",94305,Stanford,CA
2755474912,SQL Data Quality Analyst,Dice,"San Jose, CA",95101,San Jose,CA
2721739396,Research & Data Analyst,San Jose Downtown Association,"San Jose, CA",95101,San Jose,CA
2725636817,Data Informatics Analyst 1 #: 21-14142,"TalentBurst, an Inc 5000 company","Sunnyvale, CA",94085,Sunnyvale,CA
2752302045,Data Analytics/Analyst,Dice,"Menlo Park, CA",94025,Menlo Park,CA
2738009910,Data Analyst/ Scientist,Matrix Precise,"Los Altos, CA",94022,Los Altos,CA
2714791513,Data Analyst/Data Engineer,PRI Global,"Menlo Park, CA",94025,Menlo Park,CA
2750574710,Data Labeling Analyst,"Ursus, Inc.","Menlo Park, CA",94025,Menlo Park,CA
2752865139,Reporting Data Analyst II,HCA Healthcare,"Foster City, CA",95920,Foster City,CA
2745039557,Entry Level (Data Analyst/Data Scientist),Dice,"San Jose, CA",95101,San Jose,CA
2729174772,Data Analyst III,Russell Tobin,"Burlingame, CA",94010,Burlingame,CA
2709253281,Data Analyst/QA,E-Solutions,"San Jose, CA",95101,San Jose,CA
2745235628,Data Management Analyst,Vista Outdoor Inc.,"Scotts Valley, CA",95066,Scotts Valley,CA
2746182351,Data Analyst III #: 21-19099,"TalentBurst, an Inc 5000 company","Cupertino, CA",95014,Cupertino,CA
2750776616,Data Analyst,Diverse Lynx,"Pleasanton, CA",94566,Pleasanton,CA
2748402282,eCommerce Data Analyst,"Ursus, Inc.","Menlo Park, CA",94025,Menlo Park,CA
2753316520,Role : Data Analyst ---14106-1,Dice,"Burlingame, CA",94010,Burlingame,CA
2744526860,Clinical Data Analyst - R (Contract),BioSpace,"Menlo Park, CA",94025,Menlo Park,CA
2751961532,Data Quality Analyst,"LanceSoft, Inc.","Palo Alto, CA",94301,Palo Alto,CA
2717478136,Research Data Support Analyst,Stanford University School of Medicine,"Palo Alto, CA",94301,Palo Alto,CA
2752293699,Data Analyst III,Dice,"Cupertino, CA",95014,Cupertino,CA
2428415247,RMA Data Analyst,Supermicro,"San Jose, CA",95101,San Jose,CA
2731952703,Data Analysis (Hybrid Onsite/Remote),Ultimate Staffing,"Fremont, CA",94536,Fremont,CA
2750478679,Sr Data Analyst,"Metasys Technologies, Inc.","San Jose, CA",95101,San Jose,CA
2739781469,Data Analyst with Tableau,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2744401333,Data Analyst with Tableau,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2743388814,Data Analyst /Data scientist,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2731752549,Business Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2751960774,Marketing Data Analyst,"LanceSoft, Inc.","Palo Alto, CA",94301,Palo Alto,CA
2739803243,Equipment Data Analyst,Peterson Cat,"San Leandro, CA",94577,San Leandro,CA
2741539827,Data Analyst - SQL and ETL Design,"Ursus, Inc.","Menlo Park, CA",94025,Menlo Park,CA
2738066773,Paid Media Data Analyst,"Pinnacle Group, Inc.","Sunnyvale, CA",94085,Sunnyvale,CA
2753053869,Marketing Data Analyst,CRS Group,"Burlingame, CA",94010,Burlingame,CA
2437986567,Data Analyst III,"TalentBurst, an Inc 5000 company","Cupertino, CA",95014,Cupertino,CA
2593346974,BI Data Analyst - Finance,Corsair,"Fremont, CA",94536,Fremont,CA
2750632190,Product Data Analyst,Dice,"Sunnyvale, CA",94085,Sunnyvale,CA
2720091268,E-Commerce Data Analyst,"Yoh, A Day & Zimmermann Company","Foster City, CA",95920,Foster City,CA
2747891114,Program Analyst/ Data Analyst,Dice,"Menlo Park, CA",94025,Menlo Park,CA
2749528469,Data Analyst III #: 21-07324,HireTalent - Diversity Staffing & Recruiting Firm,"Cupertino, CA",95014,Cupertino,CA
2755149733,Data Analytics Testing,"Yoh, A Day & Zimmermann Company","Mountain View, CA",94040,Mountain View,CA
2726190100,Financial Systems Data and Business Analyst,Stanford University,"Redwood City, CA",94061,Redwood City,CA
2761642194,Distribution Management Data Analyst,"Ryder System, Inc.","San Jose, CA",95101,San Jose,CA
2728639923,Data Analyst III (Customer Experience Researcher),MindSource,"Cupertino, CA",95014,Cupertino,CA
2753409261,MDM Data Analyst,Kelly,"Cupertino, CA",95014,Cupertino,CA
2754514164,Marketing Data Analyst,Spectraforce Technologies,"Burlingame, CA",94010,Burlingame,CA
2763120215,Operations Data Analyst,eTeam,"San Jose, CA",95101,San Jose,CA
2747718110,SAS Data Analyst,"LanceSoft, Inc.","San Jose, CA",95101,San Jose,CA
2730123413,Data Analyst III (Data Engineer),MindSource,"Cupertino, CA",95014,Cupertino,CA
2744612815,Research Data Analyst 2 (2 Year Fixed Term),Stanford University,"Stanford, CA",94305,Stanford,CA
2732502382,Business Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2718961605,Data Analyst/Data Engineer,Dice,"Menlo Park, CA",94025,Menlo Park,CA
2666162087,Data Discovery Onboarding / Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2737011259,Data and Policy Analyst - Statistical Programmer,"Acumen, LLC","Burlingame, CA",94010,Burlingame,CA
2738434212,Data Analyst III #: 21-05046,HireTalent - Diversity Staffing & Recruiting Firm,"Cupertino, CA",95014,Cupertino,CA
2515369047,Supply Chain Data Analyst,Corsair,"Fremont, CA",94536,Fremont,CA
2732919130,Data And Reporting Analyst,"Intelliswift Software, Inc.","Mountain View, CA",94040,Mountain View,CA
2751168875,Data and Policy Analyst IV,"Acumen, LLC","Burlingame, CA",94010,Burlingame,CA
2733356576,Supply Chain Data and Program Analyst,Accenture,"San Jose, CA",95101,San Jose,CA
2741243470,Reliability Data Analyst,II-VI Incorporated,"Fremont, CA",94536,Fremont,CA
2725719527,Business Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2743396476,Data Quality Analyst,Diverse Lynx,"Santa Clara, CA",95050,Santa Clara,CA
2747898344,Supply Chain Data and Program Analyst,Accenture,"San Jose, CA",95101,San Jose,CA
2735400783,Event Data Analyst,eTeam,"Sunnyvale, CA",94085,Sunnyvale,CA
2743851795,Development & Data Analyst -- Administrative Analyst/Specialist - Exempt I (505432),California State University - East Bay,"Hayward, CA",94541,Hayward,CA
2744690895,Research Data Analyst 2 (2 Year Fixed Term),Stanford University School of Medicine,"Palo Alto, CA",94301,Palo Alto,CA
2740185385,Data Governance Analyst (2-year Fixed Term),Stanford University,"Stanford, CA",94305,Stanford,CA
2749430286,Data Analyst - Alteryx,Diverse Lynx,"Santa Clara, CA",95050,Santa Clara,CA
2746555723,GIS Data Analyst,Dice,"San Jose, CA",95101,San Jose,CA
2735370179,Data Analyst IV #: 19-01632,HireTalent - Diversity Staffing & Recruiting Firm,"Menlo Park, CA",94025,Menlo Park,CA
2749294036,Data Analyst - BI Developer,"Ursus, Inc.","Sunnyvale, CA",94085,Sunnyvale,CA
2743402583,Data Steward Analyst,Diverse Lynx,"Redwood City, CA",94061,Redwood City,CA
2659880256,Data Business Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2743400630,Data Steward Analyst,Diverse Lynx,"Redwood City, CA",94061,Redwood City,CA
